Data ;Centro ;PO financeiro;PO % ; PO Pares;Forecast Financeiro;Forecast %;Forecast Pares;LY Financeiro;LY %;LY Pares;Actual Pares ;Actual %;actual;LY
jan/22;A133;399,28781;3,41%;126,1591617;;;;321,2225257;3,55%;127,963;130,814;3,59%;371,6730891;321,2225257
fev/22;A133;427,22688;3,58%;132,6632805;;;;308,4775321;3,26%;123,143;139,466;3,76%;471,3925027;308,4775321
mar/22;A133;450,68987;3,47%;144,8763492;468,32004;3,47%;144,876;312,3284155;2,95%;126,473;;;;312,3284155
abr/22;A133;382,04488;3,47%;122,8378662;382,04488;3,47%;122,889;362,3938062;3,29%;121,024;;;;362,3938062
mai/22;A133;463,59201;3,59%;144,3024199;463,59201;3,60%;144,345;372,5797944;2,84%;111,725;;;;372,5797944
jun/22;A133;447,76899;3,58%;138,3389439;447,76899;3,60%;138,542;368,3113134;2,80%;115,025;;;;368,3113134
jul/22;A133;458,62861;3,56%;142,3159604;458,62861;3,60%;142,768;325,3321321;2,83%;120,719;;;;325,3321321
ago/22;A133;475,87811;3,52%;147,1801855;475,87811;3,50%;147,321;386,1192615;2,98%;122,883;;;;386,1192615
set/22;A133;437,52583;3,50%;135,0208854;437,52583;3,50%;135,097;471,7439334;3,25%;125,023;;;;471,7439334
out/22;A133;433,67154;3,49%;133,5324212;433,67154;3,50%;133,532;420,4563443;3,29%;133,632;;;;420,4563443
nov/22;A133;453,06971;3,47%;139,4660864;453,06971;3,50%;139,567;504,1761606;3,43%;137,145;;;;504,1761606
dez/22;A133;430,73035;3,42%;132,989333;430,73035;3,40%;133,678;407,522138;3,07%;133,253;;;;407,522138
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
